ticker_bb,ticker,yahoo
IPS/ CN,IPS/,IPS/.TO
ANP/ CN,ANP/,ANP/.TO
ATD/B CN,ATD/B,ATD/B.TO
AUR/ CN,AUR/,AUR/.TO
AXP/ CN,AXP/,AXP/.TO
BAM/A CN,BAM/A,BAM/A.TO
MXA/ CN,MXA/,MXA/.TO
NKO/ CN,NKO/,NKO/.TO
CGS CN,CGS,CGS.TO
TS/B CN,TS/B,TS/B.TO
BEI/ CN,BEI/,BEI/.TO
RCM/B CN,RCM/B,RCM/B.TO
FLY/A CN,FLY/A,FLY/A.TO
FNX/ CN,FNX/,FNX/.TO
SCL/A CN,SCL/A,SCL/A.TO
PKZ/ CN,PKZ/,PKZ/.TO
SFF/ CN,SFF/,SFF/.TO
DII/B CN,DII/B,DII/B.TO
CFM CN,CFM,CFM.TO
GAC/ CN,GAC/,GAC/.TO
HBC/ CN,HBC/,HBC/.TO
CQL CN,CQL,CQL.TO
SGB/ CN,SGB/,SGB/.TO
CNI/ CN,CNI/,CNI/.TO
TEO/ CN,TEO/,TEO/.TO
TRZ/ CN,TRZ/,TRZ/.TO
IQW/SV CN,IQW/SV,IQW/SV.TO
FSH/SV CN,FSH/SV,FSH/SV.TO
OCX/SV CN,OCX/SV,OCX/SV.TO
ATD/SV/B CN,ATD/SV/B,ATD/SV/B.TO
FLY/SV/A CN,FLY/SV/A,FLY/SV/A.TO
EME/ CN,EME/,EME/.TO
BBD/SV/B CN,BBD/SV/B,BBD/SV/B.TO
ZEN/ CN,ZEN/,ZEN/.TO
SCL/SV/A CN,SCL/SV/A,SCL/SV/A.TO
FSV/SV CN,FSV/SV,FSV/SV.TO
THY/ CN,THY/,THY/.TO
UTS/ CN,UTS/,UTS/.TO
NRD/LV CN,NRD/LV,NRD/LV.TO
ACE/RV CN,ACE/RV,ACE/RV.TO
RET/A CN,RET/A,RET/A.TO
FAL/ CN,FAL/,FAL/.TO
FAL/LV CN,FAL/LV,FAL/LV.TO
CG/ CN,CG/,CG/.TO
CYS/ CN,CYS/,CYS/.TO
TRZ/B CN,TRZ/B,TRZ/B.TO
AET/U CN,AET/U,AET/U.TO
BEI/U CN,BEI/U,BEI/U.TO
CAR-U CN,CAR-U,CAR-U.TO
CCR/U CN,CCR/U,CCR/U.TO
CF/U CN,CF/U,CF/U.TO
CWI/U CN,CWI/U,CWI/U.TO
EEE/U CN,EEE/U,EEE/U.TO
EP/U CN,EP/U,EP/U.TO
FET/U CN,FET/U,FET/U.TO
HTE-U CN,HTE-U,HTE-U.TO
IPL/U CN,IPL/U,IPL/U.TO
KEY/U CN,KEY/U,KEY/U.TO
LGY/U CN,LGY/U,LGY/U.TO
NPI/U CN,NPI/U,NPI/U.TO
PGX/U CN,PGX/U,PGX/U.TO
PMZ-U CN,PMZ-U,PMZ-U.TO
PTF/U CN,PTF/U,PTF/U.TO
PWI/U CN,PWI/U,PWI/U.TO
REF-U CN,REF-U,REF-U.TO
REI-U CN,REI-U,REI-U.TO
SGF/ CN,SGF/,SGF/.TO
SHN/U CN,SHN/U,SHN/U.TO
SRU-U CN,SRU-U,SRU-U.TO
TPW/U CN,TPW/U,TPW/U.TO
VKR/U CN,VKR/U,VKR/U.TO
YLO/U CN,YLO/U,YLO/U.TO
CNE/U CN,CNE/U,CNE/U.TO
AGI/ CN,AGI/,AGI/.TO
CORV CN,CORV,CORV.TO
EZM/ CN,EZM/,EZM/.TO
FDG/U CN,FDG/U,FDG/U.TO
KER/U CN,KER/U,KER/U.TO
CRW/U CN,CRW/U,CRW/U.TO
UWH/U CN,UWH/U,UWH/U.TO
HUM/ CN,HUM/,HUM/.TO
HPX CN,HPX,HPX.TO
BCE/ CN,BCE/,BCE/.TO
SWG/ CN,SWG/,SWG/.TO
OIL CN,OIL,OIL.TO
CLL/ CN,CLL/,CLL/.TO
SYN/ CN,SYN/,SYN/.TO
NT/ CN,NT/,NT/.TO
DY/ CN,DY/,DY/.TO
AXC CN,AXC,AXC.TO
FCP/ CN,FCP/,FCP/.TO
TF/U CN,TF/U,TF/U.TO
EFX/U CN,EFX/U,EFX/U.TO
ARU CN,ARU,ARU.TO
EGU CN,EGU,EGU.TO
GEA CN,GEA,GEA.TO
X/ CN,X/,X/.TO
GEA/ CN,GEA/,GEA/.TO
PRE// CN,PRE//,PRE//.TO
THI/ CN,THI/,THI/.TO
CPA/U CN,CPA/U,CPA/U.TO
DC/A CN,DC/A,DC/A.TO
ATP/ CN,ATP/,ATP/.TO
WTN CN,WTN,WTN.TO
VEN CN,VEN,VEN.TO
CSI/ CN,CSI/,CSI/.TO
GBG/ CN,GBG/,GBG/.TO
AC/B CN,AC/B,AC/B.TO
YLO/ CN,YLO/,YLO/.TO
CHR/B CN,CHR/B,CHR/B.TO
NAE CN,NAE,NAE.TO
PMG CN,PMG,PMG.TO
PVE CN,PVE,PVE.TO
VSN/ CN,VSN/,VSN/.TO
IPL/UN CN,IPL/UN,IPL/UN.TO
SGR/ CN,SGR/,SGR/.TO
XG CN,XG,XG.TO
AVR CN,AVR,AVR.TO
CSI CN,CSI,CSI.TO
SCL/ CN,SCL/,SCL/.TO
AD-U CN,AD-U,AD-U.TO
IPL/ CN,IPL/,IPL/.TO
BIN/ CN,BIN/,BIN/.TO
RADIB DC,RADIB,RADIB.CO
D1912B DC,D1912B,D1912B.CO
NEG DC,NEG,NEG.CO
SJGR DC,SJGR,SJGR.CO
PHARMX DC,PHARMX,PHARMX.CO
TOPO DC,TOPO,TOPO.CO
SOLARB DC,SOLARB,SOLARB.CO
SAT DC,SAT,SAT.CO
THRAN DC,THRAN,THRAN.CO
POH1V FH,POH1V,POH1V.HE
ELQAV FH,ELQAV,ELQAV.HE
RTRKS FH,RTRKS,RTRKS.HE
NOV1V FH,NOV1V,NOV1V.HE
POH1S FH,POH1S,POH1S.HE
RAMI FH,RAMI,RAMI.HE
KGH1V FH,KGH1V,KGH1V.HE
VAC1V FH,VAC1V,VAC1V.HE
PEC FP,PEC,PEC.PA
SZE FP,SZE,SZE.PA
AVM FP,AVM,AVM.PA
ELR FP,ELR,ELR.PA
GG FP,GG,GG.PA
TRD FP,TRD,TRD.PA
LVR FP,LVR,LVR.PA
ILO FP,ILO,ILO.PA
SNF FP,SNF,SNF.PA
BRS FP,BRS,BRS.PA
BULL FP,BULL,BULL.PA
VIM FP,VIM,VIM.PA
ENTC FP,ENTC,ENTC.PA
GENP FP,GENP,GENP.PA
DCH FP,DCH,DCH.PA
NEUF FP,NEUF,NEUF.PA
EEN FP,EEN,EEN.PA
PFR FP,PFR,PFR.PA
CFAOT FP,CFAOT,CFAOT.PA
MDCA FP,MDCA,MDCA.PA
COSMO GA,COSMO,COSMO.AT
GEARK GA,GEARK,GEARK.AT
MAIK GA,MAIK,MAIK.AT
TERR GA,TERR,TERR.AT
NEOCHI GA,NEOCHI,NEOCHI.AT
METTK GA,METTK,METTK.AT
VIVART GA,VIVART,VIVART.AT
ROKKA GA,ROKKA,ROKKA.AT
LADET GA,LADET,LADET.AT
ALAPIS GA,ALAPIS,ALAPIS.AT
HVM GR,HVM,HVM.DE
SRZ GR,SRZ,SRZ.DE
WAD3 GR,WAD3,WAD3.DE
CZZ GR,CZZ,CZZ.DE
DEP GR,DEP,DEP.DE
WDO GR,WDO,WDO.DE
AWD GR,AWD,AWD.DE
GE1 GR,GE1,GE1.DE
IDS GR,IDS,IDS.DE
ZPF GR,ZPF,ZPF.DE
FJH GR,FJH,FJH.DE
SSI GR,SSI,SSI.DE
TNH GR,TNH,TNH.DE
HRX GR,HRX,HRX.DE
BZL GR,BZL,BZL.DE
RHK3 GR,RHK3,RHK3.DE
PFD4 GR,PFD4,PFD4.DE
CMBT GR,CMBT,CMBT.DE
BSK GR,BSK,BSK.DE
DDE GR,DDE,DDE.DE
SOO1 GR,SOO1,SOO1.DE
SWW GR,SWW,SWW.DE
FXXN GR,FXXN,FXXN.DE
ES6 GR,ES6,ES6.DE
T3C GR,T3C,T3C.DE
RPW GR,RPW,RPW.DE
DSJ GR,DSJ,DSJ.DE
IYP GR,IYP,IYP.DE
BEB2 GR,BEB2,BEB2.DE
D9C GR,D9C,D9C.DE
BHS GR,BHS,BHS.DE
ESC GR,ESC,ESC.DE
GFJ GR,GFJ,GFJ.DE
S2M GR,S2M,S2M.DE
R8R GR,R8R,R8R.DE
SCOAE GR,SCOAE,SCOAE.DE
VTW GR,VTW,VTW.DE
PVCS GR,PVCS,PVCS.DE
TGM GR,TGM,TGM.DE
JI4 GR,JI4,JI4.DE
ABE1 GR,ABE1,ABE1.DE
494 HK,494,494.HK
54 HK,54,54.HK
903 HK,903,903.HK
349 HK,349,349.HK
917 HK,917,917.HK
304 HK,304,304.HK
801 HK,801,801.HK
44 HK,44,44.HK
233 HK,233,233.HK
ORE HK,ORE,ORE.HK
933 HK,933,933.HK
735 HK,735,735.HK
KYG ID,KYG,KYG.IR
FFY ID,FFY,FFY.IR
FBD ID,FBD,FBD.IR
AERL ID,AERL,AERL.IR
BFI IM,BFI,BFI.MI
BPCI IM,BPCI,BPCI.MI
GEDI IM,GEDI,GEDI.MI
OL IM,OL,OL.MI
PRF IM,PRF,PRF.MI
PF IM,PF,PF.MI
NM IM,NM,NM.MI
AZA IM,AZA,AZA.MI
ANM IM,ANM,ANM.MI
EGR IM,EGR,EGR.MI
GCN IM,GCN,GCN.MI
MRZ IM,MRZ,MRZ.MI
SIR IM,SIR,SIR.MI
SCT IM,SCT,SCT.MI
IML IM,IML,IML.MI
KRS IM,KRS,KRS.MI
KOR IT,KOR,KOR.TA
ORMT IT,ORMT,ORMT.TA
DEDRL IT,DEDRL,DEDRL.TA
AVNRL IT,AVNRL,AVNRL.TA
ISRAL IT,ISRAL,ISRAL.TA
RATIL IT,RATIL,RATIL.TA
3404 JP,3404,3404.T
4505 JP,4505,4505.T
5002 JP,5002,5002.T
5012 JP,5012,5012.T
5405 JP,5405,5405.T
6764 JP,6764,6764.T
6767 JP,6767,6767.T
6773 JP,6773,6773.T
6991 JP,6991,6991.T
7964 JP,7964,7964.T
8028 JP,8028,8028.T
8170 JP,8170,8170.T
8180 JP,8180,8180.T
8574 JP,8574,8574.T
8603 JP,8603,8603.T
9437 JP,9437,9437.T
9737 JP,9737,9737.T
4217 JP,4217,4217.T
4508 JP,4508,4508.T
4509 JP,4509,4509.T
5812 JP,5812,5812.T
8270 JP,8270,8270.T
8597 JP,8597,8597.T
8754 JP,8754,8754.T
8761 JP,8761,8761.T
9694 JP,9694,9694.T
9792 JP,9792,9792.T
1601 JP,1601,1601.T
2261 JP,2261,2261.T
7753 JP,7753,7753.T
8036 JP,8036,8036.T
8268 JP,8268,8268.T
8333 JP,8333,8333.T
9205 JP,9205,9205.T
6519 JP,6519,6519.T
8307 JP,8307,8307.T
8188 JP,8188,8188.T
2595 JP,2595,2595.T
7274 JP,7274,7274.T
6939 JP,6939,6939.T
7969 JP,7969,7969.T
8248 JP,8248,8248.T
7873 JP,7873,7873.T
9741 JP,9741,9741.T
4706 JP,4706,4706.T
6041 JP,6041,6041.T
8759 JP,8759,8759.T
6892 JP,6892,6892.T
7262 JP,7262,7262.T
2322 JP,2322,2322.T
4329 JP,4329,4329.T
4835 JP,4835,4835.T
7251 JP,7251,7251.T
8573 JP,8573,8573.T
8403 JP,8403,8403.T
2873 JP,2873,2873.T
4723 JP,4723,4723.T
6274 JP,6274,6274.T
8571 JP,8571,8571.T
1924 JP,1924,1924.T
4823 JP,4823,4823.T
8379 JP,8379,8379.T
7645 JP,7645,7645.T
8592 JP,8592,8592.T
8870 JP,8870,8870.T
2779 JP,2779,2779.T
6796 JP,6796,6796.T
5016 JP,5016,5016.T
6751 JP,6751,6751.T
7750 JP,7750,7750.T
8583 JP,8583,8583.T
9477 JP,9477,9477.T
6801 JP,6801,6801.T
6765 JP,6765,6765.T
8263 JP,8263,8263.T
4315 JP,4315,4315.T
8853 JP,8853,8853.T
2731 JP,2731,2731.T
2333 JP,2333,2333.T
2688 JP,2688,2688.T
3605 JP,3605,3605.T
3713 JP,3713,3713.T
4065 JP,4065,4065.T
8868 JP,8868,8868.T
8880 JP,8880,8880.T
8888 JP,8888,8888.T
8895 JP,8895,8895.T
9427 JP,9427,9427.T
9430 JP,9430,9430.T
8339 JP,8339,8339.T
8875 JP,8875,8875.T
8258 JP,8258,8258.T
7756 JP,7756,7756.T
8763 JP,8763,8763.T
9762 JP,9762,9762.T
4325 JP,4325,4325.T
6206 JP,6206,6206.T
6581 JP,6581,6581.T
2598 JP,2598,2598.T
2759 JP,2759,2759.T
9370 JP,9370,9370.T
7230 JP,7230,7230.T
7558 JP,7558,7558.T
9646 JP,9646,9646.T
7757 JP,7757,7757.T
7631 JP,7631,7631.T
6883 JP,6883,6883.T
8874 JP,8874,8874.T
4924 JP,4924,4924.T
3337 JP,3337,3337.T
3722 JP,3722,3722.T
6665 JP,6665,6665.T
6735 JP,6735,6735.T
4753 JP,4753,4753.T
9840 JP,9840,9840.T
2059 JP,2059,2059.T
3514 JP,3514,3514.T
3730 JP,3730,3730.T
4340 JP,4340,4340.T
8519 JP,8519,8519.T
8962 JP,8962,8962.T
9650 JP,9650,9650.T
4643 JP,4643,4643.T
8879 JP,8879,8879.T
8924 JP,8924,8924.T
4757 JP,4757,4757.T
6974 JP,6974,6974.T
8266 JP,8266,8266.T
8902 JP,8902,8902.T
2665 JP,2665,2665.T
4201 JP,4201,4201.T
5738 JP,5738,5738.T
8701 JP,8701,8701.T
8703 JP,8703,8703.T
2450 JP,2450,2450.T
6885 JP,6885,6885.T
8907 JP,8907,8907.T
8942 JP,8942,8942.T
6708 JP,6708,6708.T
3819 JP,3819,3819.T
6759 JP,6759,6759.T
8178 JP,8178,8178.T
3789 JP,3789,3789.T
2466 JP,2466,2466.T
8384 JP,8384,8384.T
7312 JP,7312,7312.T
8939 JP,8939,8939.T
7007 JP,7007,7007.T
7704 JP,7704,7704.T
8993 JP,8993,8993.T
6263 JP,6263,6263.T
2400 JP,2400,2400.T
7541 JP,7541,7541.T
5977 JP,5977,5977.T
2142 JP,2142,2142.T
4788 JP,4788,4788.T
8729 JP,8729,8729.T
1983 JP,1983,1983.T
2766 JP,2766,2766.T
6934 JP,6934,6934.T
8606 JP,8606,8606.T
8404 JP,8404,8404.T
9277 JP,9277,9277.T
6910 JP,6910,6910.T
3811 JP,3811,3811.T
5196 JP,5196,5196.T
3265 JP,3265,3265.T
8251 JP,8251,8251.T
6256 JP,6256,6256.T
A000140 KS,A000140,A000140.KS
A028080 KS,A028080,A028080.KS
A028150 KS,A028150,A028150.KS
A035760 KS,A035760,A035760.KS
032710 KS,032710,032710.KS
009720 KS,009720,009720.KS
004940 KS,004940,004940.KS
004550 KS,004550,004550.KS
A005810 KS,A005810,A005810.KS
001300 KS,001300,001300.KS
A003480 KS,A003480,A003480.KS
008670 KS,008670,008670.KS
015940 KS,015940,015940.KS
033630 KS,033630,033630.KS
A043650 KS,A043650,A043650.KS
016990 KS,016990,016990.KS
037150 KS,037150,037150.KS
014900 KS,014900,014900.KS
038400 KS,038400,038400.KS
A017810 KS,A017810,A017810.KS
A036930 KS,A036930,A036930.KS
042100 KS,042100,042100.KS
A033240 KS,A033240,A033240.KS
A047310 KS,A047310,A047310.KS
A051370 KS,A051370,A051370.KS
A060720 KS,A060720,A060720.KS
A065130 KS,A065130,A065130.KS
A060570 KS,A060570,A060570.KS
074000 KS,074000,074000.KS
A034230 KS,A034230,A034230.KS
004790 KS,004790,004790.KS
063350 KS,063350,063350.KS
A046890 KS,A046890,A046890.KS
A048870 KS,A048870,A048870.KS
A049070 KS,A049070,A049070.KS
A056190 KS,A056190,A056190.KS
A068790 KS,A068790,A068790.KS
A072870 KS,A072870,A072870.KS
010520 KS,010520,010520.KS
049000 KS,049000,049000.KS
A009970 KS,A009970,A009970.KS
A060150 KS,A060150,A060150.KS
068420 KS,068420,068420.KS
A035080 KS,A035080,A035080.KS
A033640 KS,A033640,A033640.KS
A036710 KS,A036710,A036710.KS
A042420 KS,A042420,A042420.KS
A082850 KS,A082850,A082850.KS
067250 KS,067250,067250.KS
A036490 KS,A036490,A036490.KS
073710 KS,073710,073710.KS
A044490 KS,A044490,A044490.KS
A053660 KS,A053660,A053660.KS
A053800 KS,A053800,A053800.KS
053660 KS,053660,053660.KS
051710 KS,051710,051710.KS
037620 KS,037620,037620.KS
064420 KS,064420,064420.KS
045710 KS,045710,045710.KS
066350 KS,066350,066350.KS
036490 KS,036490,036490.KS
036550 KS,036550,036550.KS
089480 KS,089480,089480.KS
A001880 KS,A001880,A001880.KS
A031980 KS,A031980,A031980.KS
A033500 KS,A033500,A033500.KS
048260 KS,048260,048260.KS
066270 KS,066270,066270.KS
000800 KS,000800,000800.KS
057880 KS,057880,057880.KS
A011930 KS,A011930,A011930.KS
091690 KS,091690,091690.KS
A105560 KS,A105560,A105560.KS
103150 KS,103150,103150.KS
071660 KS,071660,071660.KS
016420 KS,016420,016420.KS
108070 KS,108070,108070.KS
117930 KS,117930,117930.KS
A068270 KS,A068270,A068270.KS
096640 KS,096640,096640.KS
094190 KS,094190,094190.KS
046140 KS,046140,046140.KS
063080 KS,063080,063080.KS
A054620 KS,A054620,A054620.KS
A030530 KS,A030530,A030530.KS
052270 KS,052270,052270.KS
AHM LN,AHM,AHM.L
AL/ LN,AL/,AL/.L
BB/ LN,BB/,BB/.L
BG/ LN,BG/,BG/.L
CCM LN,CCM,CCM.L
PO/ LN,PO/,PO/.L
SFW LN,SFW,SFW.L
KID LN,KID,KID.L
TNS LN,TNS,TNS.L
WRC LN,WRC,WRC.L
JVH LN,JVH,JVH.L
WSNC LN,WSNC,WSNC.L
CO/ LN,CO/,CO/.L
AMY LN,AMY,AMY.L
TOX LN,TOX,TOX.L
BFP LN,BFP,BFP.L
ITN LN,ITN,ITN.L
CC/ LN,CC/,CC/.L
MFW LN,MFW,MFW.L
CDB LN,CDB,CDB.L
YTE LN,YTE,YTE.L
TMW LN,TMW,TMW.L
RM/ LN,RM/,RM/.L
6008 LN,6008,6008.L
ALEA LN,ALEA,ALEA.L
FOSE LN,FOSE,FOSE.L
EOL LN,EOL,EOL.L
CS/ LN,CS/,CS/.L
GND LN,GND,GND.L
CSHP LN,CSHP,CSHP.L
TRAD LN,TRAD,TRAD.L
PKC1V LN,PKC1V,PKC1V.L
FWEB LN,FWEB,FWEB.L
TT/ LN,TT/,TT/.L
RNVO LN,RNVO,RNVO.L
RB/ LN,RB/,RB/.L
BBAY LN,BBAY,BBAY.L
EAGA LN,EAGA,EAGA.L
TRIL LN,TRIL,TRIL.L
FP/ LN,FP/,FP/.L
DC/ LN,DC/,DC/.L
NBPO LN,NBPO,NBPO.L
GO/ LN,GO/,GO/.L
CW/ LN,CW/,CW/.L
ESSR LN,ESSR,ESSR.L
AZEM LN,AZEM,AZEM.L
LONR LN,LONR,LONR.L
ALNT LN,ALNT,ALNT.L
GFBBB MF,GFBBB,GFBBB.MX
AZTECACP MF,AZTECACP,AZTECACP.MX
CONTAL* MF,CONTAL*,CONTAL*.MX
COMERUBC MF,COMERUBC,COMERUBC.MX
CICSAB1 MF,CICSAB1,CICSAB1.MX
IDEALB1 MF,IDEALB1,IDEALB1.MX
MFRISCOA MF,MFRISCOA,MFRISCOA.MX
GSANBOB1 MF,GSANBOB1,GSANBOB1.MX
CDB MK,CDB,CDB.KL
PAD MK,PAD,PAD.KL
ROTH MK,ROTH,ROTH.KL
BST MK,BST,BST.KL
RBH MK,RBH,RBH.KL
TJN MK,TJN,TJN.KL
PETR MK,PETR,PETR.KL
UNI MK,UNI,UNI.KL
ASTR MK,ASTR,ASTR.KL
PROH MK,PROH,PROH.KL
POSM MK,POSM,POSM.KL
AAGB MK,AAGB,AAGB.KL
HYR MK,HYR,HYR.KL
EON MK,EON,EON.KL
PBOB MK,PBOB,PBOB.KL
UEM MK,UEM,UEM.KL
IGB MK,IGB,IGB.KL
MPR MK,MPR,MPR.KL
KNMG MK,KNMG,KNMG.KL
LMC MK,LMC,LMC.KL
DRB MK,DRB,DRB.KL
LMK MK,LMK,LMK.KL
GRPB MK,GRPB,GRPB.KL
WTKH MK,WTKH,WTKH.KL
MBC MK,MBC,MBC.KL
PNH MK,PNH,PNH.KL
UEMB MK,UEMB,UEMB.KL
WCTHG MK,WCTHG,WCTHG.KL
AIGB MK,AIGB,AIGB.KL
ENOP MK,ENOP,ENOP.KL
YNHB MK,YNHB,YNHB.KL
KUL MK,KUL,KUL.KL
TCM MK,TCM,TCM.KL
IJMP MK,IJMP,IJMP.KL
PKS MK,PKS,PKS.KL
KSB MK,KSB,KSB.KL
LLB MK,LLB,LLB.KL
BOUS MK,BOUS,BOUS.KL
SUCB MK,SUCB,SUCB.KL
SCRES MK,SCRES,SCRES.KL
IJMLD MK,IJMLD,IJMLD.KL
KFC MK,KFC,KFC.KL
MDJ MK,MDJ,MDJ.KL
MASEG MK,MASEG,MASEG.KL
MMHE MK,MMHE,MMHE.KL
UOAD MK,UOAD,UOAD.KL
MBS MK,MBS,MBS.KL
MBM MK,MBM,MBM.KL
KJC MK,KJC,KJC.KL
SAPE MK,SAPE,SAPE.KL
MUHI MK,MUHI,MUHI.KL
GMB MK,GMB,GMB.KL
JCYH MK,JCYH,JCYH.KL
UEME MK,UEME,UEME.KL
ZHCB MK,ZHCB,ZHCB.KL
SAREB MM,SAREB,SAREB.VI
CORA NA,CORA,CORA.AS
HGM NA,HGM,HGM.AS
VDOR NA,VDOR,VDOR.AS
VSTNC NA,VSTNC,VSTNC.AS
OCE NA,OCE,OCE.AS
SDB NA,SDB,SDB.AS
VNDX NA,VNDX,VNDX.AS
VRSA NA,VRSA,VRSA.AS
STO NA,STO,STO.AS
RPN NA,RPN,RPN.AS
AMSTL NA,AMSTL,AMSTL.AS
CRXL NA,CRXL,CRXL.AS
UNIT4 NA,UNIT4,UNIT4.AS
EXACT NA,EXACT,EXACT.AS
VNOI NA,VNOI,VNOI.AS
NUM NA,NUM,NUM.AS
UNIVR NA,UNIVR,UNIVR.AS
ATHLN NA,ATHLN,ATHLN.AS
WEGA NA,WEGA,WEGA.AS
GROLC NA,GROLC,GROLC.AS
SAMAS NA,SAMAS,SAMAS.AS
DRAK NA,DRAK,DRAK.AS
GAMMA NA,GAMMA,GAMMA.AS
ERIKS NA,ERIKS,ERIKS.AS
INNOC NA,INNOC,INNOC.AS
MEDIQ NA,MEDIQ,MEDIQ.AS
WAVIN NA,WAVIN,WAVIN.AS
TAA NO,TAA,TAA.OL
SME NO,SME,SME.OL
GNO NO,GNO,GNO.OL
KVI NO,KVI,KVI.OL
BNB NO,BNB,BNB.OL
NER NO,NER,NER.OL
AIK NO,AIK,AIK.OL
RIE NO,RIE,RIE.OL
EVRY NO,EVRY,EVRY.OL
FJO NO,FJO,FJO.OL
ELT NO,ELT,ELT.OL
EXPERT NO,EXPERT,EXPERT.OL
CECO NO,CECO,CECO.OL
REVUS NO,REVUS,REVUS.OL
AWO NO,AWO,AWO.OL
SIN NO,SIN,SIN.OL
CEQ NO,CEQ,CEQ.OL
KOM NO,KOM,KOM.OL
STXEUR NO,STXEUR,STXEUR.OL
STP NO,STP,STP.OL
ECHEM NO,ECHEM,ECHEM.OL
ROX NO,ROX,ROX.OL
WAVE NO,WAVE,WAVE.OL
SCORE NO,SCORE,SCORE.OL
DOCK NO,DOCK,DOCK.OL
ALGETA NO,ALGETA,ALGETA.OL
AKERBP NO,AKERBP,AKERBP.OL
DOCKW NO,DOCKW,DOCKW.OL
MORPOL NO,MORPOL,MORPOL.OL
BNF PL,BNF,BNF.LS
FLI PM,FLI,
MWC PM,MWC,
RLC PM,RLC,
PNB PM,PNB,
DMC PM,DMC,
VLL PM,VLL,
RCB PM,RCB,
SMDC PM,SMDC,
CEB PM,CEB,
SMC PM,SMC,
UBP PM,UBP,
NIKL PM,NIKL,
PGOLD PM,PGOLD,
DUD PW,DUD,DUD.WA
